variable_name,label_english,label_spanish,topic,question_type,choices,required,constraint,constraint_message,questionnaire_include,odk_calculate_expr,odk_calculate_output,odk_calculate_include,quality_include,quality_min,quality_max,quality_outlier_sd,quality_report,descriptive_include,descriptive_chart,descriptive_group_by,model_role,model_notes
respondent_id,Respondent ID,ID del encuestado,household,text,,1,,,,0,,,0,0,,,0,0,,,0,
respondent_age,Age of respondent,Edad del encuestado,household,integer,,1,". >= 18 and . <= 100","Age must be between 18 and 100",1,,respondent_age,0,1,18,100,3,1,1,histogram,,3,Control variable
respondent_sex,Sex of respondent,Sexo del encuestado,household,select_one,"male:Hombre;female:Mujer;other:Otro",1,,,1,,respondent_sex,0,0,,,0,1,1,bar,,3,Control variable
household_size,Number of people in household,Número de personas en el hogar,household,integer,,1,". >= 1 and . <= 20","Household size must be between 1 and 20",1,,household_size,0,1,1,20,3,1,1,bar,,3,Control variable
years_farming,Years of farming experience,Años de experiencia en agricultura,household,integer,,1,". >= 0 and . <= 70","Years of farming must be between 0 and 70",1,,years_farming,0,1,0,70,3,1,1,histogram,,3,Control variable
education_level,Highest level of education,Nivel máximo de educación,household,select_one,"none:Ninguno;primary:Primaria;secondary:Secundaria;technical:Técnico;university:Universidad",1,,,1,,education_level,0,0,,,0,1,1,bar,,3,Control variable
farm_count,Number of farms owned or managed,Número de fincas que posee o administra,farm,integer,,1,". >= 1 and . <= 10","Farm count must be between 1 and 10",1,,farm_count,0,1,1,10,2,1,1,bar,,3,Control variable
area_planted_coffee_raw,Area planted in coffee (in local units),Área sembrada de café (en unidades locales),farm,decimal,,1,". > 0","Area must be greater than 0",1,"if(${area_unit}='ha', ${area_planted_coffee_raw}, if(${area_unit}='manzana', ${area_planted_coffee_raw}*0.7, if(${area_unit}='vara', ${area_planted_coffee_raw}*0.000070, ${area_planted_coffee_raw}*0.0001)))",area_planted_coffee_ha,1,1,0,50,3,1,1,histogram,,2,Independent variable
area_unit,Unit used for area measurement,Unidad utilizada para medir área,farm,select_one,"ha:Hectáreas;manzana:Manzanas;vara:Varas cuadradas;tarea:Tareas",1,,,1,,area_unit,0,0,,,0,0,,,0,
area_total_farm_raw,Total farm area (in local units),Área total de la finca (en unidades locales),farm,decimal,,1,". > 0","Area must be greater than 0",1,"if(${area_unit}='ha', ${area_total_farm_raw}, if(${area_unit}='manzana', ${area_total_farm_raw}*0.7, if(${area_unit}='vara', ${area_total_farm_raw}*0.000070, ${area_total_farm_raw}*0.0001)))",area_total_farm_ha,1,1,0,200,3,1,1,histogram,,3,Control variable
coffee_variety,Main coffee variety grown,Principal variedad de café cultivada,production,select_one,"catuai:Catuaí;caturra:Caturra;bourbon:Bourbon;geisha:Geisha;lempira:Lempira;ihcafe90:IHCAFE 90;pacas:Pacas;other:Otra",1,,,1,,coffee_variety,0,0,,,0,1,1,bar,,3,Control variable
