Variable,Coef,Std Err,t-stat,p-value,CI lower,CI upper,Signif
Intercept,956.0931,195.6643,4.8864,0.0,569.8486,1342.3376,***
sells_to_cooperative[T.yes],-56.8672,47.0445,-1.2088,0.2284,-149.7338,35.9994,
has_formal_credit[T.yes],31.0524,48.7536,0.6369,0.525,-65.1879,127.2928,
uses_fertilizer[T.yes],79.4532,87.2348,0.9108,0.3637,-92.7496,251.6561,
uses_improved_variety[T.yes],186.3736,45.3151,4.1128,0.0001,96.9208,275.8263,***
respondent_sex[T.male],92.7981,50.7066,1.8301,0.069,-7.2976,192.8939,*
education_level[T.primary],6.7846,79.1843,0.0857,0.9318,-149.5265,163.0957,
education_level[T.secondary],87.8806,81.5197,1.078,0.2825,-73.0407,248.802,
education_level[T.technical],-9.5069,103.0635,-0.0922,0.9266,-212.9559,193.942,
education_level[T.university],20.7066,119.2434,0.1737,0.8623,-214.6819,256.0952,
coffee_variety[T.catuai],-92.2331,95.4269,-0.9665,0.3352,-280.6073,96.1411,
coffee_variety[T.caturra],-43.253,94.1238,-0.4595,0.6464,-229.055,142.549,
coffee_variety[T.ihcafe90],90.7999,112.2137,0.8092,0.4195,-130.712,312.3117,
coffee_variety[T.lempira],-79.1754,102.391,-0.7733,0.4404,-281.2969,122.946,
coffee_variety[T.other],-56.6176,131.6179,-0.4302,0.6676,-316.4335,203.1982,
area_planted_coffee_ha,74.4538,41.119,1.8107,0.072,-6.7158,155.6234,*
coffee_price_received_usd,-0.72,0.7633,-0.9432,0.3469,-2.2267,0.7868,
credit_amount_usd,-0.0015,0.0031,-0.4789,0.6326,-0.0076,0.0046,
respondent_age,0.8579,1.9628,0.4371,0.6626,-3.0167,4.7326,
household_size,-19.9896,10.8422,-1.8437,0.067,-41.3923,1.413,*
years_farming,-4.5604,2.862,-1.5935,0.1129,-10.21,1.0891,
farm_count,23.5333,36.5958,0.6431,0.5211,-48.7074,95.774,
area_total_farm_ha,-12.3489,19.4958,-0.6334,0.5273,-50.834,26.1361,
fertilizer_cost_usd,-0.1798,0.164,-1.0967,0.2743,-0.5035,0.1438,
N,194.0,,,,,,
R²,0.2271,,,,,,
Adj. R²,0.1226,,,,,,
